DATE,OPEN,HIGH,LOW,CLOSE,CHANGE
2019년 04월 15일,"1,282.27","1,285.44","1,280.23","1,283.74",0.10%
2019년 04월 12일,"1,284.99","1,289.57","1,280.78","1,282.52",-0.19%
2019년 04월 11일,"1,283.12","1,288.05","1,282.63","1,284.99",0.16%
2019년 04월 10일,"1,284.91","1,288.83","1,278.82","1,282.89",-0.18%
2019년 04월 09일,"1,288.08","1,289.35","1,284.04","1,285.14",-0.08%
2019년 04월 08일,"1,275.28","1,290.26","1,274.12","1,286.12",0.79%
2019년 04월 05일,"1,275.75","1,279.59","1,274.32","1,276.03",0.07%
2019년 04월 04일,"1,274.23","1,279.12","1,273.79","1,275.08",0.03%
2019년 04월 03일,"1,274.77","1,277.32","1,272.17","1,274.74",0.02%
2019년 04월 02일,"1,270.80","1,275.89","1,268.30","1,274.48",0.25%
2019년 04월 01일,"1,275.52","1,278.33","1,270.20","1,271.24",-0.37%
2019년 03월 29일,"1,274.98","1,278.72","1,273.12","1,275.93",0.02%
2019년 03월 28일,"1,281.59","1,283.28","1,274.65","1,275.62",-0.42%
2019년 03월 27일,"1,279.67","1,284.39","1,276.15","1,280.96",0.10%
2019년 03월 26일,"1,281.61","1,284.81","1,278.81","1,279.67",-0.15%
2019년 03월 25일,"1,285.73","1,286.30","1,280.62","1,281.61",-0.29%
2019년 03월 22일,"1,283.44","1,289.86","1,280.29","1,285.39",0.15%
2019년 03월 21일,"1,285.15","1,290.17","1,281.16","1,283.45",-0.14%
2019년 03월 20일,"1,283.82","1,288.33","1,280.68","1,285.21",0.11%
2019년 03월 19일,"1,284.11","1,285.99","1,281.02","1,283.81",-0.01%
2019년 03월 18일,"1,285.16","1,287.86","1,282.35","1,283.88",-0.18%
2019년 03월 15일,"1,284.44","1,290.76","1,281.99","1,286.24",0.13%
2019년 03월 14일,"1,280.52","1,286.87","1,280.07","1,284.61",0.32%
2019년 03월 13일,"1,273.73","1,283.65","1,272.67","1,280.46",0.52%
2019년 03월 12일,"1,273.13","1,276.62","1,269.81","1,273.79",0.05%
2019년 03월 11일,"1,274.79","1,277.33","1,271.87","1,273.18",-0.11%
2019년 03월 08일,"1,270.44","1,279.17","1,267.19","1,274.56",0.33%
2019년 03월 07일,"1,275.85","1,279.32","1,267.81","1,270.38",-0.43%
2019년 03월 06일,"1,273.07","1,278.15","1,272.31","1,275.86",0.22%
2019년 03월 05일,"1,277.29","1,281.85","1,272.38","1,273.07",-0.34%
2019년 03월 04일,"1,283.13","1,285.16","1,274.81","1,277.35",-0.43%
2019년 03월 01일,"1,281.21","1,285.32","1,277.13","1,282.89",0.21%
2019년 02월 28일,"1,271.87","1,282.99","1,270.48","1,280.26",0.70%
2019년 02월 27일,"1,270.62","1,276.45","1,269.48","1,271.36",-0.01%
2019년 02월 26일,"1,267.91","1,273.27","1,267.04","1,271.52",0.30%
