,count,mean,std,min,25%,50%,75%,max
Facebook_close260,2981.0,0.0969955218225403,0.21481900430816683,-0.6304651559294663,0.0,0.0,0.1974401405163304,1.0763986456744603
KOGCGDPYIndex260,2981.0,-0.015992663103156,0.4417392068978629,-1.264495975738612,-0.22238237875169564,-0.06362182174587017,0.2697004882717948,1.0687385115325927
KOGCGDPYIndex120,2981.0,-0.015992663103156,0.4417392068978629,-1.264495975738612,-0.22238237875169564,-0.06362182174587017,0.2697004882717948,1.0687385115325927
GDPCPCECIndex260,2981.0,-0.0068081573170800025,0.3441749467224376,-1.116530963178245,-0.16526473665720354,-0.01378153807493121,0.14884330955281355,1.061466854982726
GDPCPCECIndex120,2981.0,-0.0068081573170800025,0.3441749467224376,-1.116530963178245,-0.16526473665720354,-0.01378153807493121,0.14884330955281355,1.061466854982726
LEIACEIndex,2981.0,-0.4836912123683509,0.9153250016165847,-3.1221265334737773,-0.8816189292190917,-0.3229521600621379,0.14732213874738667,1.0601396495768984
FDIDFDMOIndex120,2981.0,0.005864216386308962,0.29158524654078805,-1.2561541820437783,-0.09448494233341248,0.0,0.10692631202868273,1.0573545038556496
FDIDFDMOIndex260,2981.0,0.005864216386308962,0.29158524654078805,-1.2561541820437783,-0.09448494233341248,0.0,0.10692631202868273,1.0573545038556496
CFNAIIndex,2981.0,-0.3457743572931287,0.9277747944468824,-4.986836233429083,-0.47080247312150153,-0.1567516895480854,0.16795088350146106,1.0441231917012614
KOGNICUYIndex120,2981.0,-0.01590893309515067,0.45137045328783376,-1.2846390158640162,-0.25710099654111196,0.008745764956172408,0.2822332739621809,1.0352006611111155
KOGNICUYIndex260,2981.0,-0.01590893309515067,0.45137045328783376,-1.2846390158640162,-0.25710099654111196,0.008745764956172408,0.2822332739621809,1.0352006611111155
CPICHNGIndex,2981.0,0.1502293987491995,0.2973156570568516,-1.8,0.028175236559592014,0.19221523727308934,0.29809309414413093,1.0138564621498465
PCECHNCIndex,2981.0,0.15289989968405548,0.24942900696239842,-0.9228833185433021,0.010722092036852544,0.1719844580752159,0.3100039312062219,1.0009322441417758
future_bit,2981.0,1.0,1.2668288949027535e-16,0.9999999999999997,1.0,1.0,1.0,1.0000000000000004
option_bit,2981.0,1.0,1.7222332080204004e-16,0.9999999999999994,0.9999999999999998,0.9999999999999999,1.0,1.0000000000000002
Siltronic_close120,2981.0,0.034871800013381915,0.19719205663687056,-0.6720533975001457,0.0,0.0,0.0,0.9397774526763727
Amazon_close260,2981.0,0.2264086218828801,0.26548319153226924,-0.5970238900015925,0.055967793484891004,0.22618166483763158,0.39425003728802466,0.9387707369410516
EMDINP1MIndex260,2981.0,0.004360551904985129,0.26146329370446586,-0.8611180903488678,-0.09042584603246073,0.003804691173386665,0.09000446857926914,0.9378515413992248
EMDINP1MIndex120,2981.0,0.004360551904985129,0.26146329370446586,-0.8611180903488678,-0.09042584603246073,0.003804691173386665,0.09000446857926914,0.9378515413992248
KRXsemiconductor_close,2981.0,0.05161801170295947,0.26718626483673025,-0.9307354690505782,-0.12349438084474862,0.06945084773474264,0.19088826192214547,0.9163768290286978
NAPMNEWOIndex260,2981.0,0.006206725974166403,0.17800331785977885,-0.5881098091443735,-0.08539409277903776,0.006193159155410299,0.07461137530734696,0.9112159507637592
NAPMNEWOIndex120,2981.0,0.006206725974166403,0.17800331785977885,-0.5881098091443735,-0.08539409277903776,0.006193159155410299,0.07461137530734696,0.9112159507637592
AMD_close120,2981.0,-0.0033475424395425306,0.31780967592096926,-0.8663332964282886,-0.20039806732523924,-0.006927291432566207,0.19287176768910697,0.9038719293408071
SKLIINTRIndex120,2981.0,-0.009442862640534993,0.3491101590475917,-0.6813719148253201,-0.2642119224232927,-0.037193942550618614,0.2033306572975369,0.9002781404687672
SKLIINTRIndex260,2981.0,-0.009442862640534993,0.3491101590475917,-0.6813719148253201,-0.2642119224232927,-0.037193942550618614,0.2033306572975369,0.9002781404687672
APPLE_close260,2981.0,0.1718749361796548,0.27859264618691426,-0.8114347344189654,0.02312241742085419,0.22457602580417646,0.3440630871595429,0.884135114429839
LMNIDS03Comdty260,2981.0,-0.020362010038453116,0.36317975202066854,-1.210912791021192,-0.24656307301820846,-0.03279878584603857,0.23790667577065072,0.859498765172269
SKhynix_close120,2981.0,0.02523943380742356,0.27208143346621794,-1.3833958885568691,-0.09742635498116137,0.0657396409122164,0.19350774747509902,0.8579956368279262
SKBSICIndex260,2981.0,-0.0050740290021555915,0.17130072328952212,-0.6624798066455275,-0.08108222317180669,-0.00984346999177177,0.0654252507275519,0.8368330030943021
SKBSICIndex120,2981.0,-0.0050740290021555915,0.17130072328952212,-0.6624798066455275,-0.08108222317180669,-0.00984346999177177,0.0654252507275519,0.8368330030943021
MXEF0MTIndex260,2981.0,0.006823360099920203,0.3131981609320666,-1.2233571148837612,-0.16825754230442325,0.026878100314981168,0.19668839465803245,0.8356665235835319
CL1Comdty260,2981.0,-0.0006488152305350819,0.3386926831405998,-1.3282526999006539,-0.10055877738350016,0.036400133327622264,0.1997961873172187,0.8178026718830678
KOCPIYOYIndex120,2981.0,-0.021637904413581845,0.3126067198096821,-0.8649671217458745,-0.25682092239163734,0.006433022152910306,0.19011456580161856,0.8141337918459596
KOCPIYOYIndex260,2981.0,-0.021637904413581845,0.3126067198096821,-0.8649671217458745,-0.25682092239163734,0.006433022152910306,0.19011456580161856,0.8141337918459596
MSRUMATIndex260,2981.0,0.018222131760964006,0.28978087038021455,-1.2007401076173343,-0.09888967567427187,0.06279641400646163,0.1898342343930155,0.81185155299677
LMCADS03Comdty260,2981.0,0.002528851274718217,0.27264614360493616,-1.1122195096897434,-0.11372767695160668,-0.004046295073136363,0.14336607180261396,0.8041344694252865
Facebook_close120,2981.0,0.04460416567808227,0.1484579492489952,-0.6304651559294663,0.0,0.0,0.08995455432110955,0.8036174886350209
KOUHTTLIndex120,2981.0,0.001290690407714071,0.2693660044201335,-0.5998239592467076,-0.1986419528888259,-0.05021809603697491,0.19538109728150133,0.8003812852707313
KOUHTTLIndex260,2981.0,0.001290690407714071,0.2693660044201335,-0.5998239592467076,-0.1986419528888259,-0.05021809603697491,0.19538109728150133,0.8003812852707313
Nvidia_close120,2981.0,0.07548796327169835,0.2752972152704823,-1.0973979594357077,-0.04372019630594348,0.08998740563969054,0.2385228364936971,0.7896597351991397
KOVMEXPSIndex120,2981.0,-0.0034888857684294257,0.2572694762251943,-0.7523165683476325,-0.16506600316528797,0.016229521223831256,0.17066246210757896,0.7885480427027893
KOVMEXPSIndex260,2981.0,-0.0034888857684294257,0.2572694762251943,-0.7523165683476325,-0.16506600316528797,0.016229521223831256,0.17066246210757896,0.7885480427027893
KOBSMCIndex260,2981.0,-0.007398102054568747,0.18600904905739102,-0.7391085342368351,-0.089896523823219,-0.014596438646621301,0.08433083930697016,0.7672276863024554
KOBSMCIndex120,2981.0,-0.007398102054568747,0.18600904905739102,-0.7391085342368351,-0.089896523823219,-0.014596438646621301,0.08433083930697016,0.7672276863024554
Amazon_close120,2981.0,0.11032982345704061,0.19852969920075136,-0.7442430153664903,0.0038233592495480195,0.12006528598169908,0.2263349435288573,0.7556637267907709
KOVMPRODIndex260,2981.0,0.004270649326514798,0.23580082275868142,-0.6688675982551953,-0.13833731168858776,0.01205934605751402,0.1591062071974516,0.7530161520054754
KOVMPRODIndex120,2981.0,0.004270649326514798,0.23580082275868142,-0.6688675982551953,-0.13833731168858776,0.01205934605751402,0.1591062071974516,0.7530161520054754
CONCCONFIndex260,2981.0,0.009800843939631732,0.2336383839445722,-0.7755315119974884,-0.03889376503116093,0.049833717374472286,0.14396162752004482,0.7418955611818148
CONCCONFIndex120,2981.0,0.009800843939631732,0.2336383839445722,-0.7755315119974884,-0.03889376503116093,0.049833717374472286,0.14396162752004482,0.7418955611818148
CL1Comdty120,2981.0,0.0002807018047482173,0.24175323575433155,-1.2538685065340611,-0.08396041656927622,0.04099327542436626,0.1430275164179089,0.7362307666962575
SKBSICSAIndex120,2981.0,-0.005375190298319108,0.14606788535764317,-0.5575000955917497,-0.0554884981010666,-0.00938994203087784,0.032171238710397176,0.7169959567336663
SKBSICSAIndex260,2981.0,-0.005375190298319108,0.14606788535764317,-0.5575000955917497,-0.0554884981010666,-0.00938994203087784,0.032171238710397176,0.7169959567336663
MXEF0ITIndex260,2981.0,0.055865601921337195,0.231894819675046,-0.843584559308832,-0.02596389769576124,0.07225225625766551,0.17538872906183656,0.7120138669030363
KOBONTLIndex120,2981.0,0.03254404186573693,0.2551229495106534,-0.7652260191066134,-0.11816140379301387,0.04821697629813215,0.20939444577232713,0.7114101078336574
KOBONTLIndex260,2981.0,0.03254404186573693,0.2551229495106534,-0.7652260191066134,-0.11816140379301387,0.04821697629813215,0.20939444577232713,0.7114101078336574
SZCOMPIndex120,2981.0,0.035565458967043405,0.2199968797426162,-0.6821933793228689,-0.07492493804717171,0.020590181395959917,0.14038190404229045,0.7094375889314017
SamsungElectronics_close260,2981.0,-0.05833465002696627,0.7760820723736557,-4.112219216663297,-0.06793771815064353,0.05743985860252465,0.20385306969068928,0.6995953620870488
PIDSDPSIndex120,2981.0,0.03204906351792366,0.16824235801403328,-0.523631187602855,-0.06601038721547026,0.04250802649607199,0.10744154630296165,0.693297968751835
PIDSDPSIndex260,2981.0,0.03204906351792366,0.16824235801403328,-0.523631187602855,-0.06601038721547026,0.04250802649607199,0.10744154630296165,0.693297968751835
