DATE,OPEN,HIGH,LOW,CLOSE,CHANGE
2018년 03월 27일,10.2053,10.211,10.1111,10.2058,0.01%
2018년 03월 26일,10.3463,10.3642,10.1982,10.2049,-1.38%
2018년 03월 23일,10.2709,10.3817,10.2235,10.3482,0.76%
2018년 03월 22일,10.0429,10.2708,10.0359,10.2698,2.29%
2018년 03월 21일,10.0588,10.1102,10.023,10.0396,-0.22%
2018년 03월 20일,10.1172,10.1304,10.0249,10.0616,-0.56%
2018년 03월 19일,10.1037,10.1546,10.0704,10.1182,0.17%
2018년 03월 16일,10.0589,10.1256,10.0547,10.1013,0.42%
2018년 03월 15일,10.0132,10.0959,10.0048,10.0595,0.47%
2018년 03월 14일,10.0096,10.0427,9.9618,10.0122,0.02%
2018년 03월 13일,10.0091,10.0371,9.9199,10.0106,0.02%
2018년 03월 12일,9.9741,10.0295,9.9537,10.0082,0.32%
2018년 03월 09일,10.1154,10.1195,9.9538,9.9759,-1.36%
2018년 03월 08일,10.0619,10.1416,10.0457,10.1136,0.50%
2018년 03월 07일,10.0256,10.1454,10.0196,10.063,0.37%
2018년 03월 06일,10.1471,10.1785,9.9828,10.0256,-1.20%
2018년 03월 05일,10.2054,10.2813,10.1465,10.1471,-0.61%
2018년 03월 02일,10.1934,10.3034,10.1619,10.2098,0.17%
2018년 03월 01일,10.1737,10.2194,10.0895,10.1923,0.19%
2018년 02월 28일,10.0746,10.1768,10.0424,10.1731,0.97%
2018년 02월 27일,10.0123,10.0773,9.9906,10.0755,0.63%
2018년 02월 26일,10.0693,10.0921,9.9991,10.012,-0.64%
2018년 02월 23일,10.1225,10.1346,10.0725,10.0762,-0.47%
2018년 02월 22일,9.984,10.1506,9.9816,10.1234,1.40%
2018년 02월 21일,10.0155,10.0293,9.9543,9.9839,-0.31%
2018년 02월 20일,10.0137,10.0538,9.9931,10.0145,0.01%
2018년 02월 19일,10.0348,10.08,10.0008,10.0132,-0.25%
2018년 02월 16일,10.0262,10.0755,10.0029,10.0381,0.11%
2018년 02월 15일,10.0073,10.0985,9.9845,10.0273,0.20%
2018년 02월 14일,10.064,10.1351,9.9909,10.0071,-0.56%
2018년 02월 13일,9.9628,10.1043,9.9426,10.0631,1.00%
2018년 02월 12일,9.9693,10.0102,9.9489,9.9636,-0.16%
2018년 02월 09일,10.094,10.1165,9.9424,9.9791,-1.13%
2018년 02월 08일,9.9717,10.1167,9.9017,10.0931,1.21%
2018년 02월 07일,9.8586,9.9804,9.8429,9.9725,1.16%
2018년 02월 06일,10.0374,10.1284,9.8455,9.8577,-1.76%
2018년 02월 05일,9.8939,10.0405,9.8529,10.0347,1.37%
2018년 02월 02일,9.785,9.901,9.7831,9.8993,1.13%
2018년 02월 01일,9.8006,9.8367,9.757,9.7888,-0.10%
2018년 01월 31일,9.8665,9.8774,9.7651,9.7988,-0.69%
2018년 01월 30일,9.8302,9.8909,9.8102,9.8666,0.38%
2018년 01월 29일,9.7979,9.8656,9.7732,9.8293,0.37%
2018년 01월 26일,9.7479,9.8559,9.7091,9.7933,0.51%
2018년 01월 25일,9.7456,9.7677,9.6988,9.7432,-0.07%
2018년 01월 24일,9.7358,9.7933,9.7134,9.7503,0.15%
2018년 01월 23일,9.6403,9.7575,9.6179,9.7353,0.98%
2018년 01월 22일,9.6482,9.6809,9.6155,9.6412,0.03%
2018년 01월 19일,9.6319,9.6578,9.5968,9.6381,0.02%
2018년 01월 18일,9.5925,9.6712,9.584,9.6363,0.46%
2018년 01월 17일,9.6387,9.6691,9.5813,9.5926,-0.48%
2018년 01월 16일,9.6199,9.6704,9.5796,9.6388,0.19%
2018년 01월 15일,9.5445,9.6464,9.4988,9.6203,0.78%
2018년 01월 12일,9.5773,9.5989,9.5298,9.5461,-0.33%
2018년 01월 11일,9.6034,9.6262,9.5421,9.5777,-0.27%
2018년 01월 10일,9.5157,9.6123,9.5031,9.6032,0.92%
2018년 01월 09일,9.4511,9.5399,9.4335,9.5155,0.68%
2018년 01월 08일,9.4017,9.4655,9.3677,9.451,0.62%
2018년 01월 05일,9.4184,9.4345,9.3689,9.3924,-0.31%
2018년 01월 04일,9.4671,9.488,9.4149,9.4215,-0.45%
2018년 01월 03일,9.4649,9.5078,9.4497,9.4644,-0.04%
2018년 01월 02일,9.4679,9.4957,9.4091,9.468,0.00%
2018년 01월 01일,9.4738,9.4768,9.4563,9.4678,-0.05%
