DATE|Actual Value|Prediction Value
20170711|1.558488462878012e-05|2.2950177292857616e-05
20170712|1.8640836055876115e-05|2.213635450918156e-05
20170713|3.385306884474885e-05|2.212540638342365e-05
20170714|1.712580370963057e-05|2.233435190090434e-05
20170717|1.6285840860251576e-05|2.2856824720489186e-05
20170718|1.2075791930901595e-05|2.215346522982751e-05
20170719|2.3286859499382484e-05|2.1047134902996147e-05
20170720|1.139904543649249e-05|2.0888256008104917e-05
20170721|1.635142418292707e-05|1.9725214227096134e-05
20170724|1.537043681638048e-05|2.0621301128559145e-05
20170725|1.8249555573647676e-05|2.0852083407432558e-05
20170726|3.133428135912315e-05|2.0606680062952023e-05
20170727|3.16981044496488e-05|2.8041243318080004e-05
20170728|4.738290755936541e-05|2.5677181138269435e-05
20170731|3.704184324135498e-05|4.27249161932687e-05
20170801|3.949934113702031e-05|3.203550412886745e-05
20170802|2.1620742927549544e-05|2.912097235154781e-05
20170803|8.36556863277127e-05|2.761416774802228e-05
20170804|4.688391526871524e-05|3.760322537284021e-05
20170807|3.189217095568346e-05|3.609561087206655e-05
20170808|5.140508494808038e-05|3.587254405480239e-05
20170809|3.3090157532767426e-05|3.419321405516112e-05
20170810|5.367452612691155e-05|3.573148372256383e-05
20170811|8.45379815726481e-05|3.786779130445893e-05
20170814|3.860452172637075e-05|3.976463066128378e-05
20170816|2.3731441646243824e-05|4.0306761499975595e-05
20170817|2.2797264069526034e-05|3.6273681599662057e-05
20170818|2.283784987134402e-05|3.232700038439942e-05
20170821|1.5812849248582296e-05|2.8850200606844047e-05
20170822|2.4575531270385382e-05|2.6941503415088517e-05
20170823|1.7925483127713398e-05|2.468209121952939e-05
20170824|1.6055991701508854e-05|2.4679231583063034e-05
20170825|3.214737569058808e-05|2.3388225732500028e-05
20170828|2.463124959628909e-05|2.44012769494646e-05
20170829|4.6721089115347265e-05|2.5996592228876636e-05
20170830|1.3428958303735677e-05|2.7845667149409517e-05
20170831|2.106507053103638e-05|2.6215668759337047e-05
20170901|2.2946070125220606e-05|2.4724069790063013e-05
20170904|4.9088872209111706e-05|2.5460016992922752e-05
20170905|2.5350251585066195e-05|3.176530309691281e-05
20170906|1.7828231082300067e-05|3.004215761211903e-05
20170907|2.0348491161068393e-05|2.6681151480564472e-05
20170908|1.603546531624013e-05|2.428323717164039e-05
20170911|2.5643278496495923e-05|2.4113268981898025e-05
20170912|1.9460028534115263e-05|2.4799938970157697e-05
20170913|2.80299268997152e-05|2.3306264195426343e-05
20170914|3.3074133847359976e-05|2.5679586271297652e-05
20170915|2.4093732506766673e-05|2.5022150706719455e-05
20170918|1.8804442823712342e-05|2.5663786254707786e-05
20170919|2.416882723647554e-05|2.3882661904947464e-05
20170920|4.2225549402763114e-05|2.5366228886703936e-05
20170921|2.5402958983454684e-05|2.900840075274455e-05
20170922|4.324061518811335e-05|2.7951705941299057e-05
20170925|2.3170889323268968e-05|3.7575367129377e-05
20170926|3.414402116787848e-05|3.169595295836525e-05
20170927|2.913277710939694e-05|3.3855470323227616e-05
20170928|3.6275698571062915e-05|2.9601131032933774e-05
20170929|2.357111389179589e-05|2.8814495130105677e-05
20171010|2.4984062267911703e-05|2.7424290316522294e-05
20171011|2.231816972844582e-05|2.727440363767098e-05
20171012|2.705666659031282e-05|2.5476562086539624e-05
20171013|2.6347388823401495e-05|2.5734286887689408e-05
20171016|2.8214048231708423e-05|3.053390044641665e-05
20171017|2.7326022822531336e-05|2.6799182885206008e-05
20171018|2.9407550565618833e-05|2.62053196288978e-05
20171019|3.148993613233079e-05|2.9070092034512564e-05
20171020|2.752627482093991e-05|3.045745774171461e-05
20171023|2.8433888950156338e-05|2.7574302876562535e-05
20171024|1.860343108238309e-05|2.753239411552758e-05
20171025|3.291504500325217e-05|2.59925784860964e-05
20171026|2.875720691022064e-05|2.614525803340049e-05
20171027|2.7452370196992558e-05|2.9175964913745657e-05
20171030|2.3300953728151596e-05|2.606443929497574e-05
20171031|2.7893646781814588e-05|2.614936842842479e-05
20171101|3.229092822661061e-05|2.5598194908997665e-05
20171102|2.8928424357139406e-05|2.6536420144111367e-05
20171103|3.535901450870026e-05|2.802690499059154e-05
20171106|4.180675558164308e-05|3.0044490750036368e-05
20171107|5.435815525771247e-05|3.7760659033971524e-05
20171108|3.8907910078658246e-05|3.707236616260674e-05
20171109|3.965745106761158e-05|3.27628926690388e-05
20171110|3.357166348262418e-05|3.322313848432909e-05
20171113|3.157635227656023e-05|3.283347857609907e-05
20171114|3.088801597458587e-05|3.1993939421902095e-05
20171115|4.159303418601221e-05|3.226308352566207e-05
20171116|2.121127861791821e-05|3.4577715889674856e-05
20171117|4.537456454332539e-05|2.9534434744995875e-05
20171120|2.9032588708464013e-05|3.017892573879656e-05
20171121|2.8671553829640603e-05|3.15243116629076e-05
20171122|2.7151875121452753e-05|3.091445280341017e-05
20171123|1.9038216320391358e-05|2.897728026385627e-05
20171124|1.565425168453791e-05|2.648037675448572e-05
20171127|4.821332957465208e-05|2.4632533382847124e-05
20171128|5.3427592537084355e-05|3.5570941114087776e-05
20171129|3.070180751366091e-05|3.4327539778163856e-05
20171130|5.905281389532432e-05|3.895270410575149e-05
20171201|4.364775927947251e-05|3.55254398222793e-05
20171204|5.2913803663923374e-05|3.8384340287011084e-05
20171205|3.590156012019317e-05|3.811856609698758e-05
20171206|4.052293647870451e-05|3.860759126871489e-05
20171207|5.005102632089416e-05|4.404155757338713e-05
20171208|3.211182414246631e-05|3.6628221005459236e-05
20171211|3.38726789816438e-05|3.699086075097253e-05
20171212|2.7000458344916345e-05|3.428126889089391e-05
20171213|3.459872820804528e-05|3.2096153548444995e-05
20171214|0.0001494133464539192|2.9976913220150886e-05
20171215|3.539754782746221e-05|3.4530309681153886e-05
20171218|2.3952530784437934e-05|3.852453821150152e-05
20171219|3.17257876125977e-05|3.4275398727078664e-05
20171220|2.5079174269740418e-05|3.392093666754517e-05
20171221|5.275386186879129e-05|3.4147514400671944e-05
20171222|3.241679763694079e-05|3.4598067889698064e-05
20171226|4.08440203794573e-05|3.5778021030263416e-05
20171227|4.1167615797272895e-05|3.576005725258977e-05
20171228|2.8408246844863685e-05|3.557068886978796e-05
20180102|2.463399012085429e-05|3.365055871896863e-05
20180103|3.15806255934764e-05|3.2167957894967196e-05
20180104|4.3227474767920186e-05|3.126250463697636e-05
20180105|2.2747025617001492e-05|3.822166962190145e-05
20180108|4.627806691224846e-05|3.177188553005436e-05
20180109|3.908180705899773e-05|3.533282614642428e-05
20180110|4.220913176088774e-05|3.525248745570098e-05
20180111|5.9433528520534234e-05|3.8454487644869175e-05
20180112|5.030305510006298e-05|3.856708018154097e-05
20180115|4.136327746811809e-05|3.94939906317789e-05
20180116|2.6587677872907222e-05|4.04083887711884e-05
20180117|3.543799102632478e-05|3.7861369594536476e-05
20180118|3.7726123314288994e-05|4.235582489452394e-05
20180119|2.6864961030411462e-05|3.508156992101831e-05
20180122|5.371366409530436e-05|3.439483632276279e-05
20180123|3.4439136518069486e-05|3.613834022283096e-05
20180124|3.171389372352374e-05|3.502469507763918e-05
20180125|2.614439620377495e-05|4.0846326738392915e-05
20180126|2.4933034993618327e-05|3.4906534416970855e-05
20180129|2.3584433071665622e-05|3.335079374716306e-05
20180130|3.1513681899581575e-05|2.9136148097784592e-05
20180131|0.00010194454612133481|3.068040125580507e-05
20180201|4.7693804080806636e-05|4.147341371637533e-05
20180202|5.0657120178828e-05|4.6891704350833696e-05
20180205|9.633219393937641e-05|5.048507980336081e-05
20180206|0.00019192045226073618|7.874804159868756e-05
20180207|0.00012141788152940734|0.00011538058450604339
20180208|0.00023080103209659517|0.00011195828168778837
20180209|0.00012203289276641803|0.0001078099098836875
20180212|6.25457155046689e-05|0.00010418540213975695
20180213|7.567360626818219e-05|7.698534967920479e-05
20180214|5.5170762891571444e-05|7.130242989651468e-05
20180219|6.626557313151438e-05|6.386582858962562e-05
20180220|4.543421023259477e-05|5.90911254040146e-05
20180221|7.135232350650878e-05|5.520085485728481e-05
20180222|5.084406478213264e-05|5.287702423855892e-05
20180223|3.60367174443334e-05|5.280403300770528e-05
20180226|3.203077092136534e-05|4.538169801416874e-05
20180227|4.633181907278903e-05|4.134012655519452e-05
20180228|5.672956997629169e-05|3.978496535617859e-05
20180302|5.470525670680177e-05|4.308915501221606e-05
20180305|6.537975816411909e-05|5.014407480130252e-05
20180306|3.98874278908542e-05|5.317595460696548e-05
20180307|7.081965815417312e-05|4.284526904125913e-05
20180308|6.779401057971515e-05|5.8830414802038195e-05
20180309|7.567197886338228e-05|5.3987429616648405e-05
20180312|4.231166570890375e-05|5.197682247488913e-05
20180313|3.300496145551714e-05|4.8624805167737666e-05
20180314|3.635847430182082e-05|4.1267431838220615e-05
20180315|3.7970128507059985e-05|3.928211381161983e-05
20180316|4.463467249350604e-05|3.857488682247848e-05
20180319|5.2572354218941224e-05|3.820293929155815e-05
20180320|3.775596345426681e-05|4.2458218032345954e-05
20180321|2.4937472888500214e-05|3.7698675343463366e-05
20180322|4.6877653467838704e-05|3.6310882751585184e-05
20180323|7.032386892926582e-05|4.707747127225456e-05
20180326|8.233761486332319e-05|6.31655724340611e-05
20180327|4.098368062593864e-05|4.73826443876746e-05
20180328|6.606637157531898e-05|4.8568808132364724e-05
20180329|4.702090001340852e-05|5.796492629125205e-05
20180330|3.718420302070075e-05|4.68604914479624e-05
20180402|3.1531313130625636e-05|3.9885345385729906e-05
20180403|4.9087801344934324e-05|4.21174295950701e-05
20180404|4.4417289924222595e-05|4.281008708978664e-05
20180405|4.862449428278705e-05|5.443125738067785e-05
