DATE|Actual Value|Prediction Value
20170713|2.052547296898296e-05|2.271441784739568e-05
20170714|1.603466828733171e-05|2.298201298341373e-05
20170717|1.5879792381991007e-05|2.253893180038418e-05
20170718|1.5696711573216793e-05|2.2143167493724214e-05
20170719|1.6931464301766008e-05|2.0275783885039946e-05
20170720|1.8540948673714152e-05|2.1690638493226963e-05
20170721|2.2600760476345417e-05|1.9433059711538684e-05
20170724|2.8807057151633063e-05|2.0356701576701085e-05
20170725|3.314133843662798e-05|2.017446198680111e-05
20170726|3.739129554930249e-05|2.131154246185285e-05
20170727|3.5448587862987744e-05|2.63164633860953e-05
20170728|4.584010423860051e-05|2.6859611160187804e-05
20170731|4.574030578047053e-05|3.3764086765681666e-05
20170801|4.4710371323336185e-05|2.9732738142250098e-05
20170802|4.709152008554826e-05|2.7695864566801853e-05
20170803|4.9385403006591846e-05|2.688871067225584e-05
20170804|4.338917096643157e-05|3.3321190224724476e-05
20170807|5.091998422721816e-05|3.1704000891536756e-05
20170808|5.226245438135559e-05|3.11321983750043e-05
20170809|4.672772572098826e-05|3.1741133580390686e-05
20170810|4.466914702833997e-05|3.283083500469247e-05
20170811|3.8501811777226477e-05|3.848946192722802e-05
20170814|2.4756785312413346e-05|3.7215968605025195e-05
20170816|2.1950987221216262e-05|3.6013013526561e-05
20170817|2.0789795517510166e-05|3.4351105723427934e-05
20170818|1.9441541043906738e-05|3.101442619037437e-05
20170821|2.1303446207755538e-05|2.944715939551525e-05
20170822|2.306712627729693e-05|2.650712864862979e-05
20170823|2.7496237846289283e-05|2.5654042031555396e-05
20170824|2.6596932881493748e-05|2.5761050128061752e-05
20170825|2.759874864739926e-05|2.4142457543787055e-05
20170828|2.575848753432578e-05|2.5529235026655902e-05
20170829|3.0650012056890276e-05|2.614292952169921e-05
20170830|2.637584455083405e-05|2.892780828276707e-05
20170831|2.725569910654695e-05|2.6186803581944174e-05
20170901|2.7112383232553338e-05|2.686981665072834e-05
