DATE|Actual Value|Prediction Value
20171020|3.225159005448437e-05|2.798734510002223e-05
20171023|3.314400454060366e-05|3.2709694848197414e-05
20171024|3.317393952851903e-05|2.8366816346470507e-05
20171025|3.367734566588189e-05|2.730964713692912e-05
20171026|3.338918717179194e-05|3.3380749449608196e-05
20171027|3.290323764230045e-05|3.2583521871782404e-05
20171030|3.2313331716677734e-05|3.0263316225340345e-05
20171031|3.355895050900278e-05|2.7027154103553483e-05
20171101|3.483564779676625e-05|2.5605616696660477e-05
20171102|3.475619176111876e-05|2.769080756519041e-05
20171103|3.626241123802799e-05|2.629508709568559e-05
20171106|3.667684847656662e-05|3.534876002510262e-05
20171107|3.7232200880680646e-05|3.676456621103245e-05
20171108|3.630937112380465e-05|3.290775388195568e-05
20171109|3.639012244380695e-05|2.9516117139600662e-05
20171110|3.690980120647113e-05|2.9783375859277017e-05
20171113|3.6836809239463184e-05|3.096685376275644e-05
20171114|3.695162557471738e-05|2.83963566107419e-05
20171115|3.6757247693233905e-05|2.9874699222700403e-05
20171116|3.640753239433559e-05|3.3219290674442024e-05
20171117|4.281763578613563e-05|3.36209399409697e-05
20171120|4.231878495034245e-05|2.9492356995850933e-05
20171121|4.2064782054141155e-05|2.9787969130476252e-05
20171122|4.2217493743289e-05|3.2173133272263795e-05
20171123|4.21138587007034e-05|3.3016167173653606e-05
20171124|4.379964097812342e-05|3.3172130525544224e-05
20171127|4.4637768275743526e-05|2.8973190358704838e-05
20171128|4.4269302815983835e-05|3.231744232124605e-05
20171129|4.3656303978993225e-05|3.322006480769522e-05
20171130|4.354162594555334e-05|3.194232820942189e-05
20171201|4.182068475682988e-05|3.2559562848823116e-05
20171204|4.121732807253005e-05|3.6805746130693773e-05
20171205|4.073301162772986e-05|3.8239173317829426e-05
20171206|4.0075284902570284e-05|3.7142914829940146e-05
20171207|4.0363041424247516e-05|3.6993410702797234e-05
20171208|3.9814580461152657e-05|3.580504569791781e-05
20171211|4.0319445842073775e-05|3.62578178804434e-05
20171212|4.159748831901827e-05|3.217266938772747e-05
20171213|4.27626181567756e-05|2.84607590182181e-05
20171214|4.3100845619779275e-05|3.0147161142583704e-05
20171215|3.6959562190728625e-05|3.1109075393960995e-05
20171218|3.69615843506718e-05|3.943095359411898e-05
20171219|3.765026397716432e-05|3.701376765848807e-05
20171220|3.740722264805501e-05|3.8646507902223286e-05
20171221|3.8838947139333186e-05|3.537172603222346e-05
20171222|3.792321087179712e-05|3.90119470726205e-05
20171226|3.788806567612629e-05|3.511744727849462e-05
20171227|3.7153084467342166e-05|3.552096009086029e-05
20171228|3.634135542715941e-05|3.574384512143871e-05
20180102|3.61001647384995e-05|3.507620240118527e-05
20180103|3.6444149327435866e-05|3.8251685546597995e-05
20180104|3.9962345353828815e-05|4.050036554529795e-05
20180105|4.0185661819473135e-05|3.9339704710192264e-05
20180108|4.158116654756443e-05|3.9755745528900335e-05
20180109|4.408387289892087e-05|4.1228954516509004e-05
20180110|5.1725805159007775e-05|4.2787368377657373e-05
20180111|5.568624264743374e-05|3.82580253863689e-05
20180112|6.425461782623681e-05|4.2491897506659714e-05
20180115|6.784110970955455e-05|4.4603398382054e-05
20180116|6.890023161138205e-05|4.095701575010175e-05
20180117|7.135452803114578e-05|4.4548622646802676e-05
20180118|7.234116662440818e-05|3.8671470984135674e-05
20180119|7.376813911526942e-05|3.7001072695757786e-05
20180122|7.469660157537859e-05|3.52475000159223e-05
20180123|7.557853454593883e-05|3.7104366779348574e-05
20180124|7.639878095914201e-05|3.8545351275187626e-05
20180125|7.661492214518249e-05|3.5599108634613846e-05
20180126|7.690924088106202e-05|3.8012508462791925e-05
20180129|7.797918008502054e-05|3.7444907160560554e-05
20180130|7.96364369302519e-05|3.38917733168651e-05
20180131|8.079601567061292e-05|3.193850814996136e-05
20180201|7.896777627275214e-05|4.129072890329658e-05
20180202|7.857745746325441e-05|3.843310095784257e-05
20180205|7.958558436202165e-05|3.6645022690143e-05
20180206|7.815867519403865e-05|4.148885545402712e-05
20180207|7.234625152417097e-05|6.508196559626623e-05
20180208|6.839094073314572e-05|5.162678679088273e-05
20180209|5.85011372010919e-05|6.897927026840545e-05
20180212|5.4217416277862014e-05|5.4422531064253406e-05
20180213|5.298863692798151e-05|6.25761760728542e-05
20180214|5.1436690239247764e-05|5.8314473394496615e-05
20180219|5.130676980561624e-05|5.281136188748598e-05
20180220|4.988128932175387e-05|5.43671862843774e-05
20180221|4.8856452454549156e-05|5.1685579439334585e-05
20180222|4.763271895261558e-05|5.475265113937549e-05
20180223|4.8606709159972236e-05|5.272218835655093e-05
20180226|5.092175403092179e-05|4.3812559199526826e-05
20180227|5.136939951615047e-05|3.838398412887343e-05
20180228|5.2356127141276936e-05|3.821041752225952e-05
20180302|5.1870693643132715e-05|4.233903440649218e-05
20180305|5.0994640958827667e-05|5.0074878673205216e-05
20180306|4.9302218707153e-05|4.549027662631349e-05
20180307|4.9762237379857025e-05|4.350908190058181e-05
20180308|4.844211896835948e-05|5.621436778623933e-05
20180309|4.748364315351313e-05|5.31710154403074e-05
20180312|4.6583449054307876e-05|5.7394466553936604e-05
20180313|4.637372745655643e-05|4.963047009094877e-05
20180314|4.76216794923997e-05|4.877642058261655e-05
20180315|4.784276574073928e-05|4.490858163673316e-05
20180316|4.7891765339864034e-05|3.8837558141207515e-05
20180319|4.708701279632841e-05|3.860211865572372e-05
20180320|4.555264226500291e-05|3.878573070530284e-05
20180321|4.490495196272923e-05|3.584884824956808e-05
20180322|4.494995320732196e-05|3.6553826466460936e-05
20180323|4.3592664251681544e-05|4.6252615297521054e-05
20180326|4.137247582067433e-05|5.6951789766240155e-05
20180327|3.967908152060195e-05|4.6544088174047226e-05
20180328|3.987882917622155e-05|4.3767218642439294e-05
20180329|3.842415470704497e-05|5.2148444420963026e-05
20180330|3.818331172972937e-05|3.991210456134963e-05
20180402|3.922767585145448e-05|3.559544101844621e-05
20180403|3.815426740675029e-05|4.454176323056225e-05
20180404|3.6228157606214307e-05|4.7304504832361386e-05
20180405|3.4468108170666e-05|5.303357498367562e-05
20180406|3.6328497382177235e-05|4.7674185901210425e-05
20180409|3.595425638141345e-05|5.1401036180454e-05
20180410|3.7133417026561604e-05|4.7523155608076465e-05
20180411|3.631235249108713e-05|5.261983164324112e-05
20180412|3.577970013292076e-05|4.721430057034873e-05
20180413|3.5038193164093084e-05|4.110420408973253e-05
20180416|3.496231010726717e-05|3.8115923147188626e-05
20180417|3.534351535672874e-05|3.3459610516606114e-05
20180418|3.558241778249057e-05|3.296470268879327e-05
20180419|3.548587354432638e-05|2.9885645924674695e-05
